00102;MINISTERIO DE INDUSTRIAS;- - - - - - - -;CALLE EMPEDRADO NO. 302 ENTRE HABANA Y AGUIAR;2304;102;7513;05;2;999;;0;UP;0
00104;MINISTERIO DE ENERGIA Y MINAS;- - - - - - - - -;AVE. SALVADOR ALLENDE NO. 666 E/ OQUENDO Y SOLEDAD;2303;104;7513;05;2;999;;0;UP;0
00111;MINISTERIO DE LA INDUSTRIA ALIMENTARIA;-  -  -  -  -  -  -  -;AVE. 41 NO. 4455 E/ 48 Y 50;2301;111;7513;05;2;999;00111;0;UP;0
00113;INSTITUTO NACIONAL DE RECURSOS HIDRAULICOS;-  -  -  -  -  -  -  -;CALLE HUMBOLDT NO. 106, E/ P E INFANTA, VEDADO;2302;113;7513;05;2;013;00113;0;UP;0
00126;MINISTERIO DE LA CONSTRUCCION;-  -  -  -  -  -  -  -;AVENIDA CARLOS MANUEL DE CESPEDES Y 35, VEDADO;2302;126;7513;05;2;999;;0;UP;0
00131;MINISTERIO DE LA AGRICULTURA;-  -  -  -  -  -  -  -;CONILL Y AVE. INDEPENDENCIA;2302;131;7513;05;2;999;;0;UP;0
00151;MINISTERIO DEL TRANSPORTE;-  -  -  -  -  -  -  -;AVE CARLOS M. DE CESPEDES ESQ TULIPAN;2302;151;7513;05;2;999;000000151;0;UP;0
00153;INSTITUTO NACIONAL DE RESERVAS ESTATALES;-  -  -  -  -  -  -  -;CALLE 44, NO. 314, E/ 3RA Y 5TA AVE.;2301;271;7513;05;2;999;00271;0;UP;0
00161;MINISTERIO DE COMUNICACIONES.;-  -  -  -  -  -  -  -;AVE. INDEPENDENCIA E/ ARANGUREN Y 19 DE MAYO;2302;161;7513;05;2;999;;0;UP;0
00171;MINISTERIO DEL COMERCIO INTERIOR;-  -  -  -  -  -  -  -;HABANA NO. 258 E/ EMPEDRADO Y SAN DE DIOS;2304;171;7513;05;2;999;;0;UP;0
00174;MINISTERIO DEL COMERCIO EXTERIOR Y LA INVERSION EXTRANJERA;-  -  -  -  -  -  -  -;INFANTA NO. 16 E/ 23 Y HUMBOLDT;2302;174;7513;05;2;999;;0;UP;0
00211;MINISTERIO DE CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE;-  -  -  -  -  -  -  -;CALLE M, NO. 260 ENTRE 21 Y 19, VEDADO;2302;211;7513;05;2;999;;0;UP;0
00221;MINISTERIO DE EDUCACION;-  -  -  -  -  -  -  -;CALLE 17 Y O, VEDADO;2302;221;7512;05;2;999;000000221;0;UP;0
00223;MINISTERIO DE EDUCACION SUPERIOR;-  -  -  -  -  -  -  -;23 NO.565 ESQUINA A F. VEDADO;2302;223;7512;05;2;999;000000223;0;UP;0
00233;INSTITUTO CUBANO DE RADIO Y TELEVISION;-  -  -  -  -  -  -  -;CALLE 23 NO. 258 E/ L Y M. VEDADO;2302;233;7512;05;2;999;;0;UP;0
00234;MINISTERIO DE CULTURA;-  -  -  -  -  -  -  -;;2302;234;7512;05;2;999;000000234;0;UP;0
00241;MINISTERIO DE SALUD PUBLICA;-  -  -  -  -  -  -  -;CALLE 23 NO. 201 ESQ. N, VEDADO;2302;241;7512;05;2;999;000000241;0;UP;0
00242;INSTITUTO NACIONAL DE DEPORTES, EDUCACION FISICA Y RECREACION;-  -  -  -  -  -  -  -;VIA BLANCA Y RANCHO BOYEROS;2310;242;7512;05;2;999;;0;UP;0
00249;CONTRALORIA GENERAL DE LA REPUBLICA;-  -  -  -  -  -  -  -;Calle 23 No. 801 esquina a B.;2302;249;7511;05;2;999;000000249;0;UP;0
00251;BANCO NACIONAL DE CUBA;BNC;AGUIAR NO. 456 ENTRE LAMPARILLA Y AMARGURA;2304;251;6519;04;1;999;;0;BANC;0
00253;BANCO POPULAR DE AHORRO;BPA;CALLE 16 NO. 306 ENTRE 3RA AVE. Y 5TA AVE.;2301;253;6519;04;1;999;;0;BANC;0
00254;MINISTERIO DE FINANZAS Y PRECIOS;-  -  -  -  -  -  -  -;CALLE OBISPO NO. 211, ESQ. A CUBA;2304;254;7511;05;2;999;;0;UP;0
00256;MINISTERIO DEL TURISMO;-  -  -  -  -  -  -  -;AVENIDA MALECON Y G VEDADO;2302;256;7513;05;2;999;;0;UP;0
00257;BANCO CENTRAL DE CUBA;BANCO CENTRAL;CALLE CUBA # 402 ENTRE LAMPARILLA Y AMARGURA;2304;257;6511;04;1;999;;0;BANC;0
00258;BANCO DE CREDITO Y COMERCIO;BANDEC;AMARGURA NO. 158 E/ AGUIAR Y CUBA;2304;258;6519;04;1;999;;0;BANC;0
00259;BANCO EXTERIOR DE CUBA;-  -  -  -  -  -  -  -;23 ESQUINA P;2302;259;6519;04;1;999;000000259;0;BANC;1
00261;MINISTERIO DE ECONOMIA Y PLANIFICACION;-  -  -  -  -  -  -  -;20 DE MAYO E/ TERRITORIAL Y AYESTARAN;2302;261;7511;05;2;999;;0;UP;0
00262;MINISTERIO DE TRABAJO Y SEGURIDAD SOCIAL;-  -  -  -  -  -  -  -;CALLE 23 NUMERO 105 E/ O Y P;2302;262;7513;05;2;999;;0;UP;0
00263;MINISTERIO DE JUSTICIA;-  -  -  -  -  -  -  -;CALLE O N0. 216 E/ 23 Y 25, VEDADO;2302;263;7511;05;2;999;;0;UP;0
00264;MINISTERIO DE RELACIONES EXTERIORES;-  -  -  -  -  -  -  -;CALZADA NO. 360, ENTRE G Y H, VEDADO;2302;264;7521;05;2;999;;0;UP;0
00267;TRIBUNAL SUPREMO POPULAR;-  -  -  -  -  -  -  -;AVE. CARLOS M. DE CESPEDES Y LOMBILLO;2302;267;7523;05;2;999;;0;UP;0
00268;FISCALIA GENERAL DE LA REPUBLICA;-  -  -  -  -  -  -  -;AVENIDA PRIMERA NUMERO 1801 ENTRE LAS CALLES 18 Y 20, REPARTO MIRAMAR.;2301;268;7523;05;2;999;;0;UP;0
00271;MINISTERIO DE LAS FUERZAS ARMADAS REVOLUCIONARIAS;-  -  -  -  -  -  -  -;"EDIFICIO ""SIERRA MAESTRA"", AVENIDA DE RANCHO BOYEROS";2302;271;7523;05;2;999;;0;UP;0
00272;MINISTERIO DEL INTERIOR;-  -  -  -  -  -  -  -;;2302;272;7523;05;2;999;;0;UP;0
